,index,Texto,Texto limpio,Categoría
48,3862,Alista Ssa contrato con Sputnik V; llegarían la próxima semana 200 mil dosis https://t.co/K7L90snXbE https://t.co/iUeHFELo1P,critica desea lugar,Noticia
49,7505,"Absorbía su alma, su energía, se alimentaba de sus emociones jugando a llevarlas al extremo. No paró hasta tenerlo como quería... Muerto. #panicosiniestro",absorbía alma energía alimentaba emociones jugando llevarlas extremo paró tenerlo quería muerto panicosiniestro,Microficción
50,3769,"El 'Ocean Viking' rescata a más de un centenar de migrantes cerca de la costa libia
https://t.co/cwhMWdDynz https://t.co/SlfEBMxOpt",elimina vida elimina sonrisa,Noticia
51,1920,"Un buen destino es que dos personas se encuentren, cuando ni siquiera se estaban buscando.",aristeguienvivo fin semana francia detectó primer caso nueva variante coronavirus tata francés residente inglaterra lado ayer comenzó vacunación territorio galo detalles florenciamxfr periodista,Frase/Pensamiento
52,3542,Mayoría de personas encontradas en fosas son jóvenes que pierden la vida en enfrentamientos: AMLO https://t.co/JcdksiyNcQ https://t.co/cIinIQBHRk,si mañana voy triste así hoy voy ser feliz,Noticia
53,1959,"""Cuantas cosas perdemos por miedo a perder.""",nfl playoffs así jugará ronda divisional horarios,Frase/Pensamiento
54,3813,Sale del hospital gobernador de Guanajuato que contrajo Covid-19 | Tuit https://t.co/svNgjUBnSP https://t.co/ZA4Ra5CfyF,juntos matan separados mueren,Noticia
55,2674,"El CSG señaló un semáforo que cuando está en verde se puede regresar a clases. Ahora hay dos estados en verde: Campeche y Chiapas. Cuando está en amarillo, se pueden abrir centros de aprendizaje comunitario y también continuar el aprendizaje en casa https://t.co/bYfHH4fkrD https://t.co/ywtufhzO3O",gusta rodeado gente sana juzga ríe,Noticia
56,6012,"Encontró un legajo futurístico entre el barro de la trinchera. Horas después, bajo la luz de las explosiones, Ernst Hess leyó con sorpresa que su compañero Adolf dirigiría a Alemania en la II Guerra Mundial y perseguiría a su pueblo. Sería mejor caerle bien... 
#Cuentober",encontró legajo futurístico barro trinchera horas después bajo luz explosiones ernst hess leyó sorpresa compañero adolf dirigiría alemania ii guerra mundial perseguiría pueblo mejor caerle bien cuentober,Microficción
57,7080,"- No, Ariel, no hagas eso - le amonestó Sebastián. La sirenita, harta de sus críticas se lo llevó a la superficie y lo cocinó a las brasas.",ariel hagas amonestó sebastián sirenita harta críticas llevó superficie cocinó brasas,Microficción
58,2944,"Inicia Ricardo Anaya su gira por el país... acarreando maíz

#Video 👉 https://t.co/tBojcpJQob",quiero amor medias rasgado partido mitad luchado sufrido merezco entero intenso indestructible,Noticia
59,4192,Llegan a México 5 mil 230 litros de la sustancia activa de AstraZeneca para ser envasados https://t.co/pGMAwJWh5d https://t.co/mHMBLgIbUM,abuelas decirte nombre nombran primos,Noticia
60,2481,La Cuarta Transformación es una transformación feminista: Sánchez Cordero https://t.co/3lJujAgULV https://t.co/9suu7ZIS46,interjet destino incierto aumento recaudación columnasfinancieras jueves,Noticia
61,4090,¿Por qué se registró un 'apagón en México? y el ambulantaje frente a la pandemia | #ColumnasPolíticas de este martes https://t.co/ZzjQb05xs6 https://t.co/1JztvcFrMX,si duele importa,Noticia
62,1450,“Los abuelos deberían ser eternos.”,fallece legislador oaxaqueño othón cuevas córdova covid19,Frase/Pensamiento
63,6702,Se escondió dentro de un canasto y apareció en Mesopotamia.,escondió dentro canasto apareció mesopotamia,Microficción
64,765,"No confíes en nadie, recuerda que el diablo fue una vez un ángel.",policías salina cruz cumplen días paro labores falta pago aguinaldo días,Frase/Pensamiento
65,3870,Recomiendan sancionar en EU a empresas que no cumplan ley laboral en México https://t.co/jsJLo4OFIz https://t.co/BmzNMOeafn,enamorado sonrisa,Noticia
66,7795,Lo peor de huir de la policía fue separarse de ellas. Tendría que empezar de nuevo su colección de cadáveres disecados.,peor huir policía separarse empezar nuevo colección cadáveres disecados,Microficción
67,6351,"La mujer gritó angustiada al ver su ropa revuelta por la habitación aderezada por pedazos de papel higiénico y una cucaracha muerta. Su gato, orgulloso, la miraba sentado en el centro de su lienzo.
@Rmonociclo #Monoficción",mujer gritó angustiada ver ropa revuelta habitación aderezada pedazos papel higiénico cucaracha muerta gato orgulloso miraba sentado centro lienzo rmonociclo monoficción,Microficción
68,1108,"-Algún día dejaré de mandarte mensajes de ""buenos días"". 
- ¿Por qué? 
- Porque estaré junto a ti para dártelos.",familias necesitan salvavidas urgente galván ochoa,Frase/Pensamiento
69,1395,"""Quizá no tenga todas las cosas materiales que quisiera tener, pero tengo el mejor de los tesoros: Mi familia""",ine ordenó presidente funcionarios hagan declaraciones violen neutralidad política,Frase/Pensamiento
70,6346,@EdyNightmare La guerra contra el terrorismo iba viento en popa. La venta mundial de armas era el negocio más próspero para los illuminati.,edynightmare guerra terrorismo iba viento popa venta mundial armas negocio próspero illuminati,Microficción
71,2957,Cárteles mexicanos: 'La conexión asiática' https://t.co/qtSqAFMhTE https://t.co/20f3AVYBUC,sienten miedo solos saben esperar siempre llega persona correcta,Noticia
72,5089,"@AsiloOscuro @raskolnik68 @JFranciscoMR1 @dd_hidalgo @jardindebonsais @notasmedianoche @AllegraLunaW @DeghemteriSoto @Olga_Lafuente @Ikormar @rutasparalelas @365Microcuentos @EliseoCardomo @EvilOdradek @macogarciap @bazarmonedas @ElenaSilesB @psicosisred_ @buho_net @rey_g En el teatro, yacía inerte el actor que encarnaba al principe Hamlet, cuyo cabello se volvió blanco, como su piel, y se quedó en estado catatónico. El público no sabía cómo reaccionar. Ellos no vieron al fantasma de su padre viniendo a vengarse de su asesino. #AsiloOscuro",asilooscuro raskolnik68 jfranciscomr1 dd_hidalgo jardindebonsais notasmedianoche allegralunaw deghemterisoto olga_lafuente ikormar rutasparalelas 365microcuentos eliseocardomo evilodradek macogarciap bazarmonedas elenasilesb psicosisred_ buho_net rey_g teatro yacía inerte actor encarnaba principe hamlet cuyo cabello volvió blanco piel quedó catatónico público sabía cómo reaccionar vieron fantasma padre viniendo vengarse asesino asilooscuro,Microficción
73,4840,"En televisión y radio pública, múltiples programas dedicados a Manzanero: Villamil https://t.co/ZAFCQlwoft https://t.co/nvRQTcJCQD",amar dar alguien poder destruirte confiar hará,Noticia
74,3397,"#AristeguiEnVivo | La jueza británica Vanessa Baraitser consideró que Julian Assange presenta riesgo de suicidio, por lo que no se pudo autorizar la extradición a EE.UU. Todos los detalles con @lourdes_heredia, periodista en Londres https://t.co/rnQiCTzhMF https://t.co/EqLQyZu7JV",di,Noticia
75,1374,Me gustaría saber la verdad aunque duela..,amlo bien fuerte optimista sánchez cordero,Frase/Pensamiento
76,7016,Su alma en pena descubrió que lo que la retenía fue no tener hijos.Pronto todos los niños del pueblo pasaron a estar a su cargo.,alma pena descubrió retenía tener hijospronto niños pueblo pasaron cargo,Microficción
77,7366,@RMonociclo ¿Cuándo diréis el tema?,rmonociclo cuándo diréis tema,Microficción
78,3960,"Líderes europeos buscan acelerar vacunación contra Covid-19 y coordinar sus fronteras
https://t.co/8cur19NHpg https://t.co/VSznPcTxeY",vive aparentar ama depender escucha atacar habla ofender,Noticia
79,2767,Organismos autónomos fueron creados para cuidar derechos sin intereses políticos del gobierno: Amedi https://t.co/uWThKammZe https://t.co/tWJ07Y5Ybb,veces,Noticia
80,4469,'Hilos sueltos' sobre la salud de AMLO y la relación México-EU | #ColumnasPolíticas de este miércoles https://t.co/ub9qEi6px2 https://t.co/QZ3f1MWQXc,esperar mensaje nunca va llegar,Noticia
81,1079,"""Amar a alguien es una cosa, que alguien te ame es otra; pero que te ame la misma persona que amas, lo es todo.""",aristeguienvivo partir hoy entra vigor reglamento materia control sanitario producción investigación uso medicinal cannabis detalles beatriz león periodista,Frase/Pensamiento
82,1121,"""Las lágrimas son fáciles de aguantar hasta que alguien te da un abrazo.""",futuro trump tribunales falta ver si encarcelado pérez hacha video,Frase/Pensamiento
83,5153,"@PlcdRmr @RMonociclo -Cuando me mudé se te olvidó decirme que eres nudista.
-Y a ti que descuartizabas personas.
-Mmmm... te diste cuenta, creo que tenemos un problema. #Monoficción",plcdrmr rmonociclo mudé olvidó decirme nudista descuartizabas personas mmmm diste cuenta creo problema monoficción,Microficción
84,2706,"Asociación civil solicita revisión judicial del caso Cienfuegos
https://t.co/9pKFAMKt5P https://t.co/L2O44rcd9y",di cuenta mismos rompemos propio corazón esperar den damos,Noticia
85,3874,Usaron a exagente de la DEA como vocero para atacarnos por caso Cienfuegos: AMLO https://t.co/Z1hLA4dQLO https://t.co/aAe4ap5Gj4,quiere corrige cambia,Noticia
86,7334,"@gjsuap Muchas gracias por tu felicitación, tu difusión y, sobre todo, por tu amistad.",gjsuap muchas gracias felicitación difusión amistad,Microficción
87,3927,Disputa por vacunas anti-Covid: UE endurece la supervisión; Londres exige sus dosis https://t.co/hIFQ0vZij9 https://t.co/Seohuc5W9l,triste personas hablan solo quieren,Noticia
88,2101,"""Hasta el detalle más pequeño puede alegrarte el día.""",así vacunación maestros campeche,Frase/Pensamiento
89,6282,Los guardias le ponían la camisa de fuerza y empezaba el juego de ponerle en el medio del círculo y empujarle y patearle. No imaginaban que la solidaridad del resto de los internos les pasaría factura. #asilooscuro,guardias ponían camisa fuerza empezaba juego ponerle medio círculo empujarle patearle imaginaban solidaridad resto internos pasaría factura asilooscuro,Microficción
90,4806,Los misteriosos copos de nieve en #Niñonautas con Kirén Miret https://t.co/xh60x3Mbvh https://t.co/EM5aGwN4kc,busca paz mental satisfacción sexual equilibrio emocional libertad intelectual,Noticia
91,2446,"Liomont, el laboratorio mexicano que fabricará vacuna anti-Covid de AstraZeneca | Video https://t.co/xSlenyKs6R https://t.co/VHn7xpIjPL",espera giro biden tras cuatro años perdidos trump periodista,Noticia
92,2342,Dan revés a Elektra por adeudo fiscal de 4 mil 900 mdp https://t.co/CeEj3opQdm https://t.co/glmXnaH4et,deportes deja covid19 derbi sevilla andrés guardado,Noticia
93,29,"""Preocúpate más por tu conciencia que por tu reputación; tu conciencia es lo que eres, tu reputación es lo que otros piensan que eres.""",gobierno mantenido bueno amlo,Frase/Pensamiento
94,3562,"Invalida SCJN ley de comunicación social de Veracruz, por violaciones al proceso legislativo
https://t.co/l6A73TFaF0 https://t.co/0iV8tzguCA",veces necesario salir tomar aire recordar quién quién quieres ser,Noticia
95,1286,"""No sueñes tu vida, vive tu sueño.""",aristeguienvivo frente cambio cultural eeuu llaman atención símbolos cultura popular lady gaga voz jlo dice césar villanueva especialista dpto relaciones internacionales u iberoamericana,Frase/Pensamiento
96,3049,El fiscal Alejandro Gertz anunció en #AristeguiEnVivo que llevará el caso Cienfuegos a nivel internacional 'para ver si tenemos la razón o no' al decidir no ejercer acción penal contra el general https://t.co/h8hrGh8xm5 https://t.co/kRaXsCDvdY,imagina alguien pida dios enseñe amarte bien valorarte,Noticia
97,34,Dale tiempo al tiempo... https://t.co/g4Y2BsYYTu,bravo policía cdmx regresa joven mochila mil pesos usaría comprar tanque oxígeno,Frase/Pensamiento
98,5508,"-Creo que hay otro mundo ahí fuera. 
-No seas ridículo.
-Pero  las pruebas indican que...
Sin dejarle hablar fue amordazado y castigado con la hoguera. No toleraban que se pusieran en duda los dogmas en esa bolsa de personajes llamada Tierra. #locosinfinitos",creo mundo ahí ridículo pruebas indican dejarle hablar amordazado castigado hoguera toleraban pusieran duda dogmas bolsa personajes llamada tierra locosinfinitos,Microficción
99,6122,"@escuelacursiva Baila surf ausente, contoneando su cuerpo, haciendo vibrar las almas de quienes le observan. #juevesconcuento",escuelacursiva baila surf ausente contoneando cuerpo haciendo vibrar almas observan juevesconcuento,Microficción
100,2973,Trump reacciona al bloqueo de Twitter desde @POTUS; acusa coordinación de la red social con demócratas https://t.co/8Lsl9p8hOg https://t.co/GcvfRcyaBH,empieza jugando termina gustando,Noticia
101,959,"La vida no se trata de esperar a que la tormenta pase, se trata de aprender a bailar bajo la lluvia.",finales marzo méxico millones dosis pfizer ebrard,Frase/Pensamiento
102,2094,"“Toda persona merece tener a otra que la valore, que la respete, que la ame, y sobre todo que se lo demuestre.”",menos muertos venezuela enfrentamientos criminales policías,Frase/Pensamiento
103,3487,Prevén para primer trimestre más de 21 millones de vacunas anti-Covid en México https://t.co/WT1gZpUoMc https://t.co/7R6IJFJfY1,arriésgate aquello hace feliz,Noticia
104,6219,"Había dejado suficientes mensajes para todo aquel que quisiera socializar. No contestó nadie, pero recibió un centenar de me gusta.",dejado suficientes mensajes aquel quisiera socializar contestó nadie recibió centenar gusta,Microficción
105,5329,"@SinergiaEscrita MENSAJE FINAL
Somos Anonymous. Somos legión. Por nuestra sangre corre ya un virus mortal. No hay cura. Tras tres días de hibernación, lo que parece un simple catarro acabará con tu vida. Somos demasiados humanos. El 3% de la población mundial sobrevivirá. Suerte.#SinergiaEscrita",sinergiaescrita mensaje final anonymous legión sangre corre virus mortal cura tras tres días hibernación parece simple catarro acabará vida demasiados humanos población mundial sobrevivirá suertesinergiaescrita,Microficción
106,6484,Las intensas lluvias descubrieron el cadáver de la pequeña en el lote abandonado. Por fin su alma pudo descansar.,intensas lluvias descubrieron cadáver pequeña lote abandonado fin alma pudo descansar,Microficción
107,143,"Si me ignoras, te voy a ignorar. Si no empiezas la conversación, no vamos a hablar. Si no haces un esfuerzo, ¿por qué debería yo hacerlo?",robert plant legendario vocalista banda led zeppelin gran aficionado wolverhampton wanderers obsequió lobo tepeji raúl jiménez disco autografiado deseo recupere lesión,Frase/Pensamiento
108,6204,@megustaescribir Desafiné en la ducha un martes. No tardaron en llamar a mi puerta tres abogados que me informaron taxativamente que incurría en un delito de derechos de autor y de daños al honor por cantar tan mal. Ahora trabajo por las noches para pagar la deuda. #martesmge,megustaescribir desafiné ducha martes tardaron llamar puerta tres abogados informaron taxativamente incurría delito derechos autor daños honor cantar tan mal ahora trabajo noches pagar deuda martesmge,Microficción
109,584,"""Tengo el don de sonreír y demostrar que no pasa nada, aunque me esté pasando de todo.""",motivo aumentar precio oxígeno medicinal profeco,Frase/Pensamiento
110,3187,"""Para todo hay tiempo"", dice AMLO al jugar beisbol | #Video
https://t.co/ZXrftPTHMD https://t.co/Ptbxu4fPUP",siempre puedes contar conmigo dijo persona hoy,Noticia
111,1298,"Para cada persona fría, existe una persona insistente que derribará sus muros.",hablé biden urgente hace falta llamada amlo,Frase/Pensamiento
112,4749,El bloque europeo acuerda la aplicación provisional del acuerdo de relaciones con Reino Unido https://t.co/EMSCB4tXnE https://t.co/8ZD5Jb9SUP,solteros enamorados muchas parejas fingen amarse,Noticia
113,6232,"Por más que trató de hacer entender a la tribu que no hacía falta que lo sacrificaran para que lloviera, jirones de su piel colgaban de los árboles al amanecer. Pocas horas después empezó a llover.",trató hacer entender tribu hacía falta sacrificaran lloviera jirones piel colgaban árboles amanecer pocas horas después empezó llover,Microficción
114,664,"Qué rico compartir estados depresivos, de felicidad, soltería y noviazgo al mismo tiempo, tengo a todos los chismosos confundidos.",cuentas twitter hablan política automatismos páez,Frase/Pensamiento
115,1184,"Me confundes. 
A veces siento que me quieres y a veces siento que no, y no sé cómo lo haces porque yo estoy queriéndote siempre.",muere ministro defensa colombia complicaciones derivadas covid19,Frase/Pensamiento
116,4842,NBA: No hará Lakers un homenaje en el primer aniversario luctuoso de Kobe Bryant https://t.co/1NVyyaiZXD https://t.co/AQcLLjfUxD,maldad circunstancias entorno educación inculcan enseñan hombres innata,Noticia
117,2618,"Si tienes un cilindro de oxígeno, no lo guardes, hay enfermos que los necesitan ahora: Sheffield https://t.co/c7TLiraIZv https://t.co/ppo4YxsfHY",deportes mauricio pochettino une equipo covid19 video,Noticia
118,3766,El mundo recuerda a las víctimas del Holocausto con eventos en línea https://t.co/4ecu0nC1Q3 https://t.co/VUbmzyOcte,mejor maestro tiempo necesidad hagas preguntas da mejores respuestas,Noticia
119,6710,"Llegué al orgasmo un martes, por primera vez en mucho tiempo sin pensar en ti. #martesmge",llegué orgasmo martes primera vez tiempo pensar martesmge,Microficción
120,990,"""Sonríe, a pesar de todo, siempre hay razones para ser feliz.""",aristeguienvivo sector privado propuso apoyar distribución aplicación vacunas vez pide gobierno federal venda dosis inmunicen trabajadores deseen hacerlo detalles zacarías ramírez,Frase/Pensamiento
121,6216,"Había dejado suficientes mensajes para todo aquel que quisiera socializar, arrastraba suficientes fantasmas y complejos como para no atreverse a responder a ninguno de los que se animó a contactar.",dejado suficientes mensajes aquel quisiera socializar arrastraba suficientes fantasmas complejos atreverse responder ninguno animó contactar,Microficción
122,4144,Celebra AMLO compromiso de Trump para llevar a cabo transición ordenada https://t.co/rAoj1ZDvHP https://t.co/3HS5cvUfNf,teléfonos móviles inteligentes día digan mandaría mensaje si,Noticia
123,7486,"@megustaescribir Un martes perdido en una isla hice la figura de tu rostro con cáscaras de coco. Durante horas los lugareños me observaron. Nadie se atrevió a preguntar a quién representaba, todos sabían que aún vivía el luto de partida. #martesmge",megustaescribir martes perdido isla hice figura rostro cáscaras coco horas lugareños observaron nadie atrevió preguntar quién representaba sabían aún vivía luto partida martesmge,Microficción
124,6023,@EdyNightmare De su padre había aprendido que la mayor manera de no dejar rastro era dar de comer a los cerdos con el cadáver.,edynightmare padre aprendido mayor manera dejar rastro dar comer cerdos cadáver,Microficción
125,4540,"Suspenden, provisionalmente, a Dayana Yastremska por dopaje | Tuit https://t.co/Dk9sbHDuI0 https://t.co/63FEu8eQYm",veces mejor puedes hacer sonreír fingir pasado aunque dentro destrozado,Noticia
126,6037,"El hermano de Luis acabo con la competencia de enamorados por ver quién colgaba primero con un sartenazo en la cabeza.
#Monoficción",hermano luis acabo competencia enamorados ver quién colgaba primero sartenazo cabeza monoficción,Microficción
127,3816,"Ante polémica por el aborto, mejor hacer una consulta ciudadana, insiste AMLO https://t.co/U7CUUcBXS1 https://t.co/OtPO1q0Kbe",si da besos nariz amor,Noticia
128,373,"“Para ser grande en la vida, solo necesitas ser humilde de corazón.”",nieve colapsa madrid ciudades españa tormenta inédita fotos vídeos,Frase/Pensamiento
